,fechas,pred
92355,2012-02-10 19:15:00,-0.5019
92491,2012-02-11 06:35:00,-0.4082
92651,2012-02-11 19:55:00,-0.4905
92791,2012-02-12 07:35:00,-0.4397
92946,2012-02-12 20:30:00,-0.468
93091,2012-02-13 08:35:00,-0.4577
93242,2012-02-13 21:10:00,-0.4356
93392,2012-02-14 09:40:00,-0.4655
93539,2012-02-14 21:55:00,-0.3958
93693,2012-02-15 10:45:00,-0.4707
93837,2012-02-15 22:45:00,-0.3524
93996,2012-02-16 12:00:00,-0.483
94135,2012-02-16 23:35:00,-0.3109
94298,2012-02-17 13:10:00,-0.5083
94435,2012-02-18 00:35:00,-0.2786
94600,2012-02-18 14:20:00,-0.5448
94736,2012-02-19 01:40:00,-0.262
